number_id,manuscript_use,artifact,row_key,field,value,units,source_files,aggregation_script,filters,seed_set,aggregation,output_location,evidence_lock,claim_ids
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_train_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",train_positives,12543,count,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_train_units,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",train_units,947462,count,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_validation_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",validation_positives,1103,count,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_DGraphFin_variant_canonical_protocol_strict_isolated_transductive_train_t1_14_val_t15_16_test_t17_20_validation_units,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=DGraphFin|variant=canonical|protocol=strict/isolated/transductive; train t1-14, val t15-16, test t17-20",validation_units,107932,count,data/raw/dgraphfin.npz; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_edge_feature_dim,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",edge_feature_dim,0,proportion/score,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_message_passing_arcs,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",message_passing_arcs,468710,proportion/score,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_node_feature_dim,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",node_feature_dim,165,proportion/score,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_nodes_or_accounts,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",nodes_or_accounts,203769,proportion/score,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_source_edges_or_transactions,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",source_edges_or_transactions,234355,proportion/score,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_test_positive_rate,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",test_positive_rate,0.06496700659868027,proportion/score,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_test_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",test_positives,1083,count,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_test_units,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",test_units,16670,count,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_total_labeled,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",total_labeled,46564,proportion/score,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_total_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",total_positives,4545,count,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_train_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",train_positives,2954,count,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_train_units,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",train_units,26905,count,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_validation_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",validation_positives,508,count,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_Elliptic_variant_canonical_protocol_strict_isolated_transductive_train_t1_30_val_t31_34_test_t35_49_validation_units,dataset/task table and methods,DATASET_TASK_STATISTICS,"dataset=Elliptic|variant=canonical|protocol=strict/isolated/transductive; train t1-30, val t31-34, test t35-49",validation_units,2989,count,data/raw/elliptic_txs_*.csv; results/runs_rb09v3/runs.csv,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_edge_feature_dim,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,edge_feature_dim,8,proportion/score,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_message_passing_arcs,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,message_passing_arcs,31898238,proportion/score,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_node_feature_dim,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,node_feature_dim,8,proportion/score,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_nodes_or_accounts,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,nodes_or_accounts,2077023,proportion/score,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_source_edges_or_transactions,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,source_edges_or_transactions,31898238,proportion/score,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_test_positive_rate,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,test_positive_rate,0.0014783469767193007,proportion/score,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_test_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,test_positives,14147,count,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_test_units,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,test_units,9569472,count,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_total_labeled,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,total_labeled,31898238,proportion/score,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_total_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,total_positives,35230,count,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
N_DATASET_TASK_STATISTICS_dataset_IBM_AML_Data_variant_hi_medium_protocol_early_to_late_transfer_50_20_30_train_positives,dataset/task table and methods,DATASET_TASK_STATISTICS,dataset=IBM AML-Data|variant=hi-medium|protocol=early_to_late_transfer: 50/20/30%,train_positives,12403,count,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_1_2_P100_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed1.json,scripts/tkde_rebuild/compute_analysis.py,eligible labeled units only for Elliptic/DGraphFin,not applicable,exact counts; one canonical payload for invariant graph/split metadata,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,RB09 artifact family; V26 lock,C01-C12
