evidence_id,family,dataset,dataset_variant,data_status,prediction_unit,class_definition_and_mapping,temporal_range_or_window,graph_construction,graph_visibility,protocol,model_or_configuration,seed_set,n_seeds,metrics,provenance_level,result_source,prediction_export,prediction_manifest,statistical_pairing_key,hardware_or_resource_envelope,validation_status,validation_source,evidence_lock_status,evidence_lock,claim_gate_status,claim_gate,eligibility,notes
RB09::elliptic::inductive_isolated::mlp,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,MLP,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=mlp|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::inductive_isolated::sage,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,GraphSAGE,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=sage|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::strict_inductive::gcn,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,GCN,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=gcn|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::strict_inductive::mlp,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,MLP,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=mlp|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::strict_inductive::sage,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,GraphSAGE,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=sage|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::transductive::gcn,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,full graph structure visible while test labels remain hidden,transductive,GCN,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=gcn|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::transductive::mlp,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,full graph structure visible while test labels remain hidden,transductive,MLP,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=mlp|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB09::elliptic::transductive::sage,core strict/isolated/transductive benchmark,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49; split id t1-30_val31-34_test35-49",published account/node graph; node features scaled on training mask only,full graph structure visible while test labels remain hidden,transductive,GraphSAGE,1-10,10,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",validated saved results,results/runs_rb09v3/runs.csv,available by manifest reference,results/runs_rb09v3/predictions_manifest.json,dataset=elliptic|model=sage|seed|protocol,CUDA benchmark artifacts; exact command and runtime recorded per row,PASS artifact family: 180 results and 180 prediction references,results/runs_rb09v3/ARTIFACT_FAMILY.json,frozen artifact family,results/runs_rb09v3/ARTIFACT_FAMILY.json,eligible within exact dataset/model/protocol scope,results/runs_rb09v3/ARTIFACT_FAMILY.json,main-paper eligible,MLP is the graph-visibility negative control; do not infer graph effects from its identical score rows alone without paired analysis.
RB11::elliptic::inductive_isolated::mlp,GraphSAGE-family architecture diagnostic,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49",published account/node graph,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,MLP,1-5,5,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",saved diagnostic outputs,results/runs_rb11_sage_family/runs.csv,available locally,results/runs_rb11_sage_family/manifest.json,dataset=elliptic|model=mlp|seed|protocol,original saved-output diagnostic; runtime recorded per row,aggregate and analysis manifests present,results/runs_rb11_sage_family/analysis_manifest.json,not a later imported full10 lock,results/runs_rb11_sage_family/aggregate_manifest.json,bounded diagnostic only,results/runs_rb11_sage_family/analysis_manifest.json,diagnostic-only,Five-seed Elliptic diagnostic; the requested DGraphFin RB11b directory is absent and RB18 remains blocked.
RB11::elliptic::inductive_isolated::sage,GraphSAGE-family architecture diagnostic,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49",published account/node graph,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,GraphSAGE mean,1-5,5,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",saved diagnostic outputs,results/runs_rb11_sage_family/runs.csv,available locally,results/runs_rb11_sage_family/manifest.json,dataset=elliptic|model=sage|seed|protocol,original saved-output diagnostic; runtime recorded per row,aggregate and analysis manifests present,results/runs_rb11_sage_family/analysis_manifest.json,not a later imported full10 lock,results/runs_rb11_sage_family/aggregate_manifest.json,bounded diagnostic only,results/runs_rb11_sage_family/analysis_manifest.json,diagnostic-only,Five-seed Elliptic diagnostic; the requested DGraphFin RB11b directory is absent and RB18 remains blocked.
RB11::elliptic::inductive_isolated::sage_maxpool,GraphSAGE-family architecture diagnostic,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49",published account/node graph,chronological split with isolated split-specific evaluation subgraph,inductive_isolated,GraphSAGE max-pool,1-5,5,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",saved diagnostic outputs,results/runs_rb11_sage_family/runs.csv,available locally,results/runs_rb11_sage_family/manifest.json,dataset=elliptic|model=sage_maxpool|seed|protocol,original saved-output diagnostic; runtime recorded per row,aggregate and analysis manifests present,results/runs_rb11_sage_family/analysis_manifest.json,not a later imported full10 lock,results/runs_rb11_sage_family/aggregate_manifest.json,bounded diagnostic only,results/runs_rb11_sage_family/analysis_manifest.json,diagnostic-only,Five-seed Elliptic diagnostic; the requested DGraphFin RB11b directory is absent and RB18 remains blocked.
RB11::elliptic::strict_inductive::mlp,GraphSAGE-family architecture diagnostic,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49",published account/node graph,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,MLP,1-5,5,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",saved diagnostic outputs,results/runs_rb11_sage_family/runs.csv,available locally,results/runs_rb11_sage_family/manifest.json,dataset=elliptic|model=mlp|seed|protocol,original saved-output diagnostic; runtime recorded per row,aggregate and analysis manifests present,results/runs_rb11_sage_family/analysis_manifest.json,not a later imported full10 lock,results/runs_rb11_sage_family/aggregate_manifest.json,bounded diagnostic only,results/runs_rb11_sage_family/analysis_manifest.json,diagnostic-only,Five-seed Elliptic diagnostic; the requested DGraphFin RB11b directory is absent and RB18 remains blocked.
RB11::elliptic::strict_inductive::sage,GraphSAGE-family architecture diagnostic,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49",published account/node graph,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,GraphSAGE mean,1-5,5,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",saved diagnostic outputs,results/runs_rb11_sage_family/runs.csv,available locally,results/runs_rb11_sage_family/manifest.json,dataset=elliptic|model=sage|seed|protocol,original saved-output diagnostic; runtime recorded per row,aggregate and analysis manifests present,results/runs_rb11_sage_family/analysis_manifest.json,not a later imported full10 lock,results/runs_rb11_sage_family/aggregate_manifest.json,bounded diagnostic only,results/runs_rb11_sage_family/analysis_manifest.json,diagnostic-only,Five-seed Elliptic diagnostic; the requested DGraphFin RB11b directory is absent and RB18 remains blocked.
RB11::elliptic::strict_inductive::sage_maxpool,GraphSAGE-family architecture diagnostic,elliptic,canonical,real pseudonymized Bitcoin transaction graph,account/node,"raw licit->2, illicit->1, unknown->0; unknown excluded; positive=illicit (1)","49 time steps; train t1-30, validation t31-34, test t35-49",published account/node graph,test nodes and incident test edges withheld from training graph; test-time graph restricted by strict contract,strict_inductive,GraphSAGE max-pool,1-5,5,"F1; precision; recall; AUROC; AUPRC; Precision/Recall@100,@500,@1000,@1%; runtime",saved diagnostic outputs,results/runs_rb11_sage_family/runs.csv,available locally,results/runs_rb11_sage_family/manifest.json,dataset=elliptic|model=sage_maxpool|seed|protocol,original saved-output diagnostic; runtime recorded per row,aggregate and analysis manifests present,results/runs_rb11_sage_family/analysis_manifest.json,not a later imported full10 lock,results/runs_rb11_sage_family/aggregate_manifest.json,bounded diagnostic only,results/runs_rb11_sage_family/analysis_manifest.json,diagnostic-only,Five-seed Elliptic diagnostic; the requested DGraphFin RB11b directory is absent and RB18 remains blocked.
RB15::saved_prediction_analysis,GraphSafe-TTA saved-output analysis,Elliptic; DGraphFin,canonical,real saved-prediction analyses,account/node,dataset-specific mappings above; positive=fraud/illicit,inherits locked RB09 prediction windows,feature-only and graph branches inherited from saved prediction families,inherits strict/isolated/transductive source contracts,saved-output policy evaluation,GraphSafe-TTA saved-output analysis,1-10,10,F1; Recall@1%; cost-sensitive risk; worst-block and average-block regret; reliability diagnostics,CPU-only derived analysis of saved predictions,results/runs_rb15_graphsafe_tta/graphsafe_tta_results.csv,source predictions referenced in import manifest,results/runs_rb15_graphsafe_tta/import_manifest.json,dataset|source protocol/model|seed|policy/comparator,no new training; CPU-only derivation from saved outputs,PASS,results/runs_rb15_graphsafe_tta/validation_report.json,inherits source prediction family; derived outputs validated,results/runs_rb15_graphsafe_tta/import_manifest.json,bounded case-study/diagnostic scope,results/runs_rb15_graphsafe_tta/graphsafe_tta_statistical_tests.csv,main case-study eligible,1200 method/seed/cell rows plus 720 ablation rows; at least one decision-level Holm-corrected result in its exact tested scope
