category,cite_key,title,authors,venue,year,doi_or_arxiv,official_url,publication_status,relevance,differentiation,verification_status
benchmark governance,sokol2025benchmarkcards,BenchmarkCards: Standardized Documentation for Large Language Model Benchmarks,Anna Sokol; Elizabeth Daly; Michael Hind; David Piorkowski; Xiangliang Zhang; Nuno Moniz; Nitesh V. Chawla,NeurIPS Datasets and Benchmarks,2025,arXiv:2410.12974,https://papers.neurips.cc/paper_files/paper/2025/hash/76175f4355e2f67cf91be468c8860070-Abstract-Datasets_and_Benchmarks_Track.html,peer reviewed,Standardizes benchmark metadata and selection.,Does not prescribe run-level claim support or blocked-status semantics.,VERIFIED_PRIMARY_OR_OFFICIAL
benchmark governance,bordes2025evalfacts,Eval Factsheets: A Structured Framework for Documenting AI Evaluations,Florian Bordes; Candace Ross; Justine T. Kao; Evangelia Spiliopoulou; Adina Williams,arXiv,2025,arXiv:2512.04062,https://arxiv.org/abs/2512.04062,preprint,"Structures evaluation context, scope, construction, method, and alignment.",Descriptive; FraudShiftBench must distinguish executable completeness and status semantics.,VERIFIED_PRIMARY_OR_OFFICIAL
benchmark governance,oh2026sota,State-of-the-Art Claims Require State-of-the-Art Evidence,YongKyung Oh,arXiv,2026,arXiv:2605.17273,https://arxiv.org/abs/2605.17273,preprint,Directly questions whether aggregate evidence supports superiority claims.,Claim gating alone is insufficient novelty; no fraud deployment contract.,VERIFIED_PRIMARY_OR_OFFICIAL
imbalance and metrics,saito2015pr,The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets,Takaya Saito; Marc Rehmsmeier,PLOS ONE,2015,10.1371/journal.pone.0118432,https://doi.org/10.1371/journal.pone.0118432,peer reviewed,Canonical motivation for precision-recall analysis under imbalance.,Does not replace operational Precision@K/Recall@K.,VERIFIED_PRIMARY_OR_OFFICIAL
calibration,guo2017calibration,On Calibration of Modern Neural Networks,Chuan Guo; Geoff Pleiss; Yu Sun; Kilian Q. Weinberger,ICML,2017,PMLR 70,https://proceedings.mlr.press/v70/guo17a.html,peer reviewed,Temperature scaling baseline and neural calibration evidence.,Monotone calibration changes threshold decisions but not rank order.,VERIFIED_PRIMARY_OR_OFFICIAL
calibration,saerens2002prior,Adjusting the Outputs of a Classifier to New a Priori Probabilities: A Simple Procedure,Marco Saerens; Patrice Latinne; Christine Decaestecker,Neural Computation,2002,10.1162/089976602753284446,https://doi.org/10.1162/089976602753284446,peer reviewed,Prior-probability-shift correction.,Does not justify improvement under arbitrary temporal shift.,VERIFIED_PRIMARY_OR_OFFICIAL
selective prediction,geifman2017selective,Selective Classification for Deep Neural Networks,Yonatan Geifman; Ran El-Yaniv,NeurIPS,2017,official proceedings,https://proceedings.neurips.cc/paper/2017/hash/4a8423d5e91fda00bb7e46540e2b0cf1-Abstract.html,peer reviewed,Risk-coverage formalism for abstaining classifiers.,Different from a fixed analyst budget over ranked fraud alerts.,VERIFIED_PRIMARY_OR_OFFICIAL
cost-sensitive learning,bahnsen2015cost,Example-Dependent Cost-Sensitive Decision Trees,Alejandro Correa Bahnsen; Djamila Aouada; Björn Ottersten,Expert Systems with Applications,2015,10.1016/j.eswa.2015.04.042,https://doi.org/10.1016/j.eswa.2015.04.042,peer reviewed,Explicit decision costs in fraud-related classification.,Does not address temporal graph evaluation contracts.,VERIFIED_PRIMARY_OR_OFFICIAL
human review,siddiqui2018feedback,Feedback-Guided Anomaly Discovery via Online Optimization,Md Amran Siddiqui; Alan Fern; Thomas G. Dietterich; Ryan Wright; Alec Theriault; David W. Archer,KDD,2018,10.1145/3219819.3220083,https://doi.org/10.1145/3219819.3220083,peer reviewed,Human analyst inspects a ranked anomaly list under limited effort.,"Operational precedent for review budgets, but not temporal graph fraud.",VERIFIED_PRIMARY_OR_OFFICIAL
graph models,kipf2017gcn,Semi-Supervised Classification with Graph Convolutional Networks,Thomas N. Kipf; Max Welling,ICLR,2017,arXiv:1609.02907,https://arxiv.org/abs/1609.02907,peer reviewed,Canonical GCN architecture.,Model citation only.,VERIFIED_PRIMARY_OR_OFFICIAL
graph models,hamilton2017graphsage,Inductive Representation Learning on Large Graphs,William L. Hamilton; Rex Ying; Jure Leskovec,NeurIPS,2017,arXiv:1706.02216,https://papers.nips.cc/paper/6703-inductive-representation-learning-on-large-graphs,peer reviewed,Canonical GraphSAGE architecture.,Model citation only.,VERIFIED_PRIMARY_OR_OFFICIAL
graph models,velickovic2018gat,Graph Attention Networks,Petar Veličković; Guillem Cucurull; Arantxa Casanova; Adriana Romero; Pietro Liò; Yoshua Bengio,ICLR,2018,arXiv:1710.10903,https://arxiv.org/abs/1710.10903,peer reviewed,Canonical graph attention architecture.,Model citation only.,VERIFIED_PRIMARY_OR_OFFICIAL
graph models,xu2019gin,How Powerful are Graph Neural Networks?,Keyulu Xu; Weihua Hu; Jure Leskovec; Stefanie Jegelka,ICLR,2019,arXiv:1810.00826,https://arxiv.org/abs/1810.00826,peer reviewed,Canonical GIN architecture underlying GINE.,Model citation only.,VERIFIED_PRIMARY_OR_OFFICIAL
graph models,hu2020pretraining,Strategies for Pre-training Graph Neural Networks,Weihua Hu; Bowen Liu; Joseph Gomes; Marinka Zitnik; Percy Liang; Vijay Pande; Jure Leskovec,ICLR,2020,arXiv:1905.12265,https://openreview.net/forum?id=HJlWWJSFDH,peer reviewed,Primary source for the edge-conditioned GINE update used by the repository implementation.,Model citation only; the benchmark does not study pre-training.,VERIFIED_PRIMARY_OR_OFFICIAL
tabular models,friedman2001gbm,Greedy Function Approximation: A Gradient Boosting Machine,Jerome H. Friedman,The Annals of Statistics,2001,10.1214/aos/1013203451,https://doi.org/10.1214/aos/1013203451,peer reviewed,Foundational gradient boosting method.,Model citation only.,VERIFIED_PRIMARY_OR_OFFICIAL
statistics,holm1979,A Simple Sequentially Rejective Multiple Test Procedure,Sture Holm,Scandinavian Journal of Statistics,1979,JSTOR 4615733,https://www.jstor.org/stable/4615733,peer reviewed,Family-wise error correction used in paired comparisons.,Statistical method citation.,VERIFIED_PRIMARY_OR_OFFICIAL
statistics,benjamini1995,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,Yoav Benjamini; Yosef Hochberg,"Journal of the Royal Statistical Society, Series B",1995,10.1111/j.2517-6161.1995.tb02031.x,https://doi.org/10.1111/j.2517-6161.1995.tb02031.x,peer reviewed,False-discovery-rate correction for supplement diagnostics.,Statistical method citation.,VERIFIED_PRIMARY_OR_OFFICIAL
statistics,efron1979bootstrap,Bootstrap Methods: Another Look at the Jackknife,Bradley Efron,The Annals of Statistics,1979,10.1214/aos/1176344552,https://doi.org/10.1214/aos/1176344552,peer reviewed,Bootstrap interval foundation.,Statistical method citation.,VERIFIED_PRIMARY_OR_OFFICIAL
