table_id,table_file,source_data_csv,upstream_evidence,generation_script,filters_and_pairing,seed_set,intended_use
S04,paper_tkde/supplement/tables/table_s04_training.tex,TRAINING_CONFIGURATION.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S05,paper_tkde/supplement/tables/table_s05_rb09_seed.tex,results/runs_rb09v3/runs.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S06,paper_tkde/supplement/tables/table_s06_rb09_effects.tex,RB09_PROTOCOL_EFFECTS.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S07,paper_tkde/supplement/tables/table_s07_v24_duplicate_audit.tex,V24_DUPLICATE_STRESS_AUDIT.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S08,paper_tkde/supplement/tables/table_s08_v22_lanes.tex,manuscript_assets/tables/V22_GPU_EVIDENCE_STATUS_TABLE.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S09,paper_tkde/supplement/tables/table_s09_v22_stats.tex,manuscript_assets/tables/V22_STAT_TESTS_FULL10.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S10,paper_tkde/supplement/tables/table_s10_ibm_seed.tex,IBM_IMPORTED_SEED_ROWS.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S11,paper_tkde/supplement/tables/table_s11_ibm_cells.tex,IBM_CELL_SUMMARY.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S12,paper_tkde/supplement/tables/table_s12_ranks.tex,IBM_RANK_DIVERGENCE.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S13,paper_tkde/supplement/tables/table_s13_ablation.tex,IBM_MATCHED_ABLATION_EFFECTS.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S13b,paper_tkde/supplement/tables/table_s13b_ablation_contexts.tex,IBM_MATCHED_ABLATION_CONTEXT_EFFECTS.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S14,paper_tkde/supplement/tables/table_s14_runtime.tex,IBM_RUNTIME_FEASIBILITY.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S15,paper_tkde/supplement/tables/table_s15_graphsafe.tex,GRAPHSAFE_BOUNDED_SUMMARY.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S16,paper_tkde/supplement/tables/table_s16_graphsafe_tests.tex,GRAPHSAFE_PAIRED_VS_SIMPLE_AVERAGE.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S17,paper_tkde/supplement/tables/table_s17_review_budget.tex,REVIEW_BUDGET_CURVES.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S18,paper_tkde/supplement/tables/table_s18_resources.tex,RESOURCE_BOUNDARIES.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S19,paper_tkde/supplement/tables/table_s19_claim_ledger.tex,CLAIM_EVIDENCE_LEDGER.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S20,paper_tkde/supplement/tables/table_s20_evidence_families.tex,EVIDENCE_FAMILY_SUMMARY.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S21,paper_tkde/supplement/tables/table_s21_framework_validation.tex,FRAMEWORK_VALIDATION_CASES.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
S22,paper_tkde/supplement/tables/table_s22_false_promotion.tex,FALSE_PROMOTION_AUDIT.csv,canonical or generated source named in source_data_csv,scripts/tkde_rebuild/build_tables.py,full rendered supplement surface,as shown,supplement
