family,variant,protocol,config,auprc,auroc,f1,auprc_rank,auroc_rank,f1_rank
graph_grid,hi-medium,late_window_holdout,recent_window_only_graph,0.028949228220603224,0.9332876930584533,0.02123809342100401,5.0,1.0,2.0
graph_grid,hi-small,early_to_late_transfer,degree_capped_bipartite,0.0128494798113685,0.8739283984521895,0.018060635591123097,2.0,1.0,1.0
graph_grid,hi-small,early_to_late_transfer,edge_aware_graphsage_h64,0.010251373603023474,0.815501637859237,0.0142390591917459,3.0,3.0,2.0
graph_grid,hi-small,early_to_late_transfer,edge_aware_graphsage_h64_degree_only,0.005127761062800887,0.6848371582452574,0.009405231146240058,4.0,6.0,5.0
graph_grid,hi-small,early_to_late_transfer,edge_aware_graphsage_h64_no_edge_features,0.0038660818912112697,0.7077099045849835,0.00805646435825341,7.0,5.0,7.0
graph_grid,hi-small,early_to_late_transfer,edge_aware_graphsage_h64_shuffled_edge_features,0.004122462372132673,0.6756518336321026,0.008834341116092204,6.0,7.0,6.0
graph_grid,hi-small,early_to_late_transfer,gine_light_h64,0.02608077105295753,0.844507132772778,0.011138270588725716,1.0,2.0,3.0
graph_grid,hi-small,early_to_late_transfer,recent_window_only_graph,0.004955268956451816,0.7790310589166413,0.010519235287436939,5.0,4.0,4.0
graph_grid,hi-small,late_window_holdout,degree_capped_bipartite,0.02573818645310432,0.8867014862207638,0.026649837974345593,2.0,1.0,1.0
graph_grid,hi-small,late_window_holdout,edge_aware_graphsage_h64,0.01099952428390733,0.8405430928108517,0.016015528130047814,3.0,3.0,2.0
graph_grid,hi-small,late_window_holdout,edge_aware_graphsage_h64_degree_only,0.006241736505076847,0.7196720931424039,0.010496234846541884,7.0,5.0,7.0
graph_grid,hi-small,late_window_holdout,edge_aware_graphsage_h64_no_edge_features,0.010520534062576633,0.7140236580558499,0.01228696871791239,4.0,6.0,5.0
graph_grid,hi-small,late_window_holdout,edge_aware_graphsage_h64_shuffled_edge_features,0.007522298646949895,0.6981000054720055,0.011388932043340861,5.0,7.0,6.0
graph_grid,hi-small,late_window_holdout,gine_light_h64,0.03125409360482645,0.8759438493261543,0.013994168888813788,1.0,2.0,3.0
graph_grid,hi-small,late_window_holdout,recent_window_only_graph,0.0068233887255274624,0.8015224190112665,0.01302262778450517,6.0,4.0,4.0
graph_grid,li-medium,early_to_late_transfer,degree_capped_bipartite,0.003159496361521801,0.8621447967532945,0.007499911689169472,6.0,3.0,1.0
graph_grid,li-medium,early_to_late_transfer,edge_aware_graphsage_h64,0.010299842748053664,0.8792822324060616,0.0034560734008245906,1.0,2.0,3.0
graph_grid,li-medium,early_to_late_transfer,edge_aware_graphsage_h64_degree_only,0.005679413404912957,0.7994589951803415,0.002414307953529532,3.0,4.0,5.0
graph_grid,li-medium,early_to_late_transfer,edge_aware_graphsage_h64_no_edge_features,0.0051539005454661405,0.7911249504429299,0.0027584470590857483,5.0,5.0,4.0
graph_grid,li-medium,early_to_late_transfer,edge_aware_graphsage_h64_shuffled_edge_features,0.005514082486543215,0.7880457388478789,0.0023604448398572486,4.0,6.0,6.0
graph_grid,li-medium,early_to_late_transfer,recent_window_only_graph,0.006571226419604519,0.9104569348877064,0.004180929470875912,2.0,1.0,2.0
graph_grid,li-medium,late_window_holdout,degree_capped_bipartite,0.0025621403206632456,0.8859601461546456,0.006685054192990793,6.0,2.0,1.0
graph_grid,li-medium,late_window_holdout,edge_aware_graphsage_h64,0.011053704388689169,0.8664995543409931,0.005195261723613544,1.0,3.0,2.0
graph_grid,li-medium,late_window_holdout,edge_aware_graphsage_h64_degree_only,0.007781624965046037,0.8225186690162669,0.0026553055351202373,2.0,4.0,5.0
graph_grid,li-medium,late_window_holdout,edge_aware_graphsage_h64_no_edge_features,0.006000282655199943,0.8167614793188667,0.002588004802973275,5.0,5.0,6.0
graph_grid,li-medium,late_window_holdout,edge_aware_graphsage_h64_shuffled_edge_features,0.006343052369256983,0.7987819067067792,0.0033589795152021507,4.0,6.0,4.0
graph_grid,li-medium,late_window_holdout,recent_window_only_graph,0.006605315008227997,0.9073437764390528,0.004558832651054446,3.0,1.0,3.0
graph_grid,li-small,early_to_late_transfer,degree_capped_bipartite,0.0038869017178650477,0.8666519263405504,0.007921540574394205,2.0,1.0,1.0
graph_grid,li-small,early_to_late_transfer,edge_aware_graphsage_h64,0.0031507328626382467,0.847469332066838,0.005431382859632645,3.0,2.0,3.0
graph_grid,li-small,early_to_late_transfer,edge_aware_graphsage_h64_degree_only,0.001677009742643887,0.751626215037399,0.003806965119024731,7.0,5.0,7.0
graph_grid,li-small,early_to_late_transfer,edge_aware_graphsage_h64_no_edge_features,0.00216967576681383,0.748867005294904,0.004575848581699684,5.0,6.0,4.0
graph_grid,li-small,early_to_late_transfer,edge_aware_graphsage_h64_shuffled_edge_features,0.0019921154135309834,0.7479867742279371,0.004049718829525454,6.0,7.0,6.0
graph_grid,li-small,early_to_late_transfer,gine_light_h64,0.009735814877483557,0.8446379971154199,0.004262417222335252,1.0,3.0,5.0
graph_grid,li-small,early_to_late_transfer,recent_window_only_graph,0.0022541233864548905,0.7897966361858118,0.005496786669072185,4.0,4.0,2.0
graph_grid,li-small,late_window_holdout,degree_capped_bipartite,0.004786786474580387,0.8479737829332601,0.008636356282452181,3.0,3.0,1.0
graph_grid,li-small,late_window_holdout,edge_aware_graphsage_h64,0.00567952104488653,0.8775987388813065,0.006653186960945511,2.0,1.0,2.0
graph_grid,li-small,late_window_holdout,edge_aware_graphsage_h64_degree_only,0.0021781446721251705,0.7689332890006385,0.004027222270631405,7.0,6.0,7.0
graph_grid,li-small,late_window_holdout,edge_aware_graphsage_h64_no_edge_features,0.0028300138205038464,0.7721717486094035,0.0042426064400106255,5.0,5.0,6.0
graph_grid,li-small,late_window_holdout,edge_aware_graphsage_h64_shuffled_edge_features,0.003248601950639283,0.7609637226339597,0.0046650703820388904,4.0,7.0,5.0
graph_grid,li-small,late_window_holdout,gine_light_h64,0.010604043990296632,0.8596405831643759,0.004702120696611316,1.0,2.0,4.0
graph_grid,li-small,late_window_holdout,recent_window_only_graph,0.002679703341954132,0.8018962170052211,0.005435860133156467,6.0,4.0,3.0
