dataset,task,protocol_id,expert_id,expert_prediction_seed,fold,status,recovery_status,reason_codes,base_coordinate_id,base_artifact_hash,prediction_path,prediction_checksum,contract_coordinate_hash,config_sha256,code_provenance_type,routing_cost_provenance
dgraphfin,node_classification,isolated_inductive,gcn,1,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,f5efa4a18a06de39243394e0dbdedeb38a833f97248b00295792d3f542c38e51,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,2,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,90a9e590fdf87a2e0b6f2aee4cbe41aad2849139444692ba7effbe8244df5ad6,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,3,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,eed27bc27f9669b6d83ac03b3312175a4807c3834fe6247dd7d21ea60b1a8de2,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,4,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,b395751d36deecf4edef87799c4995fbe2c727b5d7637ccb4602d9ee05038e01,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,5,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,2959d76f2e1606072d5372a01e191711843df460020c58490fce480967410829,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,6,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,aed699b1f7d0e7e9874f4e544f7ba761a7a284603b90a36971f7fe82a85b51b6,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,7,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,f4af531a3cdcb55845ddfcbbbce27a446b485cf066a519a68818aeea855e1f73,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,8,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,3ecb4e958d00d12b906f01bb09e5cd44c298d5c3d2bb1807a49351807d0e89cd,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,9,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,615d2a4d01e42f4ce5e5a0660d27307e07b4d80e9556af938061ff8fe9c4a229,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,gcn,10,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,1d18d6bf35a711daec15ebbd2f1ce46084dcbfa7944e3cfc6591de7cd47a9953,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,1,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,6a8bc9782a178c909220d3cf02e60757657f856c4a2166a69731673bb6e8a0ce,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,2,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,21a0163a1e8f2eba52e8c47ccbecba3fa7b711d7cbbde753d19611640272e084,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,3,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,f08aa7610ee53a179bb35372f7755e1549b526fc43d10aa42b91af1ef05eb4ad,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,4,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,a157b4e0f482082757c616e9dc68ceb2f85215119f08bc4262068b2b148837c5,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,5,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,afdd0347a45a56dcaa1c425f1244c8c96e34f54f8ad674e8195ee65d72ec7c70,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,6,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,cb63f14600172f331dfb1b1fc1d5eada0d13c00b4474d4d115500cfa3d5c4fae,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,7,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,c4780dbea74455d7463dde6dce6b1a39bcf2eae5fe736a492fc570abb1657b05,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,8,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,78c61514ab922baeb77b705937fd789c50bc8e7878871b3bcfb555d0c4d1ba8e,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,9,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,29307ef756a1467dacd386c2b88b936aea3c5186b2af4de3c96975a2fcc5ed9d,,,,,9ff83529acf18a9128ee8ef0ce4c80c738c6346f08a229acc0bc6d38d0896e44,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,isolated_inductive,graphsage,10,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,88fa06d425fc7c18ed1b96a6c89a5c2bea42bec44c7d90f6f6889ccf26cf36de,,,,,1ba45869f075247dc9d4fdcaf2ef6b8b7d99e402e103dae58aae2047f3d4e8bf,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,1,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,52685c12e4917f7a80b31307cafaa6e3ad42bc7953f4f322d6cd0517eac808ff,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,2,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,3f8626ebf4031fe19be3063461490c3e227395b6372777b7053468d5f9b04edb,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,3,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,7b4d450599ad9dc6734c6f1c1f1f5234d942db04fc4c2292420760ef83d76f9a,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,4,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,13dd60fdcac4eb5d35fb765cb01e25e7fe279c289a7d6e9a52f5f7f0ad7990c2,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,5,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,00a4ba89d4ee6f091cea901da90be475c7e8388c9cdca300ea3f81eaeb572071,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,6,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,e77d9298b1a98b90d5f1d588a9f205e0377da5cdca4636d1fe7b8979288158e7,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,7,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,6b7d63e7661ef7286f176f47f4b732e982367117f89416992a67bdecbabd2499,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,8,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,c966f96e03610916d4bd40ef9d67fc358b9049ed9aa6dc08a925b71717d4cf11,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,9,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,14b8fa46a1578c3a50a909eab6570615726270cff0c0b3fd446d963c0f30b3d4,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,feature_mlp,10,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,47a18f3f93eef31ef9628c9183adcc32b12d5e8c96d9e6bfe63e094e5260d4f9,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,1,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING;UNVERIFIED_RAW_COORDINATE_CANDIDATES_NOT_ALIASED,c409978cc8e157cc7053250d8ed12ca6728b967118ddbb3c5abf8699d51957a7,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,2,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING;UNVERIFIED_RAW_COORDINATE_CANDIDATES_NOT_ALIASED,bd5ee45787b25eaa8e58278803fd8a33845c17b36748ea13fa99e94ab86c5064,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,3,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING;UNVERIFIED_RAW_COORDINATE_CANDIDATES_NOT_ALIASED,699f0ebe1389ac36857614b4c2bcf8a567db513bed3e05725da60c655767995c,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,4,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,cf244b1b927f67b07d941b9bcc78f85a9105a1df0bf0b52cb0dc33f6f3ac8dd3,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,5,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,e2d14d889b32a8a031cce73c3ec01b101132c9313004e3bca4d871080e066365,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,6,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,87dfb374ec2ee90a9768ea0c7ee80a2989ba67cc4a30e403920ef6a20a263592,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,7,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,1724d6b9a17c272fa2c30bf9b0b907021044c6e027c376596aef5fbdb6245053,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,8,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,af851ff54993722304202e0647492bfa90cc696484622c66b5b42534cfdeb079,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,9,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,77641ed7a474c6b657565f2ba88b2b4772cceab852461b9c97cd7fe57aac4113,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,gcn,10,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,136845af308a5d8e3536bbf9055ba521235a07610c15f58056f8b32c39057377,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,graphsage,1,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,e5e5e60cff19b872e27cad3484b19f4bf0814d56c47c414751caa3f3f5ba387c,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,graphsage,2,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,66e853c90106b4f81363bfadbdc609f7d1d34b949618b75dd9bae22c1969c4e5,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,graphsage,3,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,04a62f40212fc028ce05dfd1f8ea09b8cf59216c34fa0f0ca46d0d9d4ce61be0,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,graphsage,4,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,6980525005315ec3c08e4dfab012b99d1eee2122b725d2ea2ecec1687522a5c0,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,graphsage,5,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,b5702d342fa5bdbba06156bf6e1ea8b8d5665f07dd87cd0b7814a28ce7980fe2,,,,,43e695161bf9a482fdf43850a31aa1c0072b9a8add0b082a0f39c6a36110c3ac,UNRESOLVED_LEGACY_CODE,UNRESOLVED
dgraphfin,node_classification,strict_inductive,graphsage,6,fold0,BLOCKED_BASE_ARTIFACT,INDEX_REFERENCED_FILE_MISSING,CANONICAL_PREDICTION_PATH_MISSING;INDEXED_SOURCE_ARCHIVE_MISSING,2e8802ebf6b0081fc29d0c22b0051b5a4c2f35b2745d371099ae528b586680e1,,,,,7cd33aba43c112cc69e7ba19aacbf24515cb670b4ab7099ef66f0d404aadfa2a,UNRESOLVED_LEGACY_CODE,UNRESOLVED
