family,lane_id,dataset,protocol,model,loss,control,n_seeds,seeds,AUPRC_mean,AUPRC_std,AUROC_mean,AUROC_std,F1_mean,F1_std,ECE_mean,ECE_std,Precision@0.5%_mean,Precision@0.5%_std,Recall@0.5%_mean,Recall@0.5%_std,Precision@1%_mean,Precision@1%_std,Recall@1%_mean,Recall@1%_std,Precision@2%_mean,Precision@2%_std,Recall@2%_mean,Recall@2%_std,Precision@100_mean,Precision@100_std,Recall@100_mean,Recall@100_std,Precision@500_mean,Precision@500_std,Recall@500_mean,Recall@500_std,Precision@1000_mean,Precision@1000_std,Recall@1000_mean,Recall@1000_std
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,gcn,focal,,10,1 2 3 4 5 6 7 8 9 10,0.01165,0.002197,0.53093,0.062525,0.01655,0.012378,,,,,,,0.00676,0.007886,0.00617,0.007215,,,,,0.003,0.006749,0.00016,0.000366,0.006,0.006928,0.00161,0.001867,0.0064,0.006802,0.00342,0.003643
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,gcn,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.01164,0.002223,0.53049,0.063306,0.01642,0.01239,,,,,,,0.00705,0.008238,0.00645,0.007535,,,,,0.003,0.006749,0.00016,0.000366,0.0062,0.007451,0.00166,0.001997,0.0064,0.006802,0.00342,0.003643
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,mlp,default,,10,1 2 3 4 5 6 7 8 9 10,0.01424,0.006039,0.53659,0.178716,0.02288,0.018331,,,,,,,0.01608,0.012305,0.01471,0.011269,,,,,0.004,0.005164,0.0002,0.000258,0.0116,0.008733,0.00311,0.002342,0.0141,0.009574,0.00757,0.005135
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,mlp,focal,,10,1 2 3 4 5 6 7 8 9 10,0.01546,0.006499,0.56287,0.177966,0.02315,0.018259,,,,,,,0.01842,0.013096,0.01685,0.011985,,,,,0.005,0.007071,0.00026,0.000378,0.0136,0.009371,0.00364,0.002513,0.016,0.011333,0.00859,0.006073
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,mlp,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.01398,0.006305,0.52554,0.176871,0.02358,0.01918,,,,,,,0.01607,0.012424,0.01469,0.011367,,,,,0.005,0.007071,0.00026,0.000378,0.0128,0.008854,0.00343,0.002369,0.014,0.010231,0.00752,0.005488
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,sage,default,,10,1 2 3 4 5 6 7 8 9 10,0.01966,0.005545,0.65514,0.126646,0.03861,0.014859,,,,,,,0.02078,0.009263,0.01901,0.008471,,,,,0.016,0.016465,0.00085,0.000891,0.0184,0.0107,0.00494,0.002885,0.0196,0.008884,0.01052,0.00478
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,sage,focal,,10,1 2 3 4 5 6 7 8 9 10,0.03361,0.001872,0.75191,0.010797,0.05599,0.01805,,,,,,,0.06447,0.006052,0.05894,0.005524,,,,,0.054,0.020656,0.00289,0.001116,0.0682,0.009065,0.01831,0.002415,0.07,0.009487,0.03758,0.005078
RB28,RB28_DGRAPHFIN_LOSS_ROBUSTNESS_ISOLATED_FULL10_SEEDS_1_10_DUALGPU_V22,dgraphfin,strict_inductive,sage,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.0227,0.005843,0.68688,0.126505,0.04764,0.017499,,,,,,,0.02732,0.012115,0.02497,0.011058,,,,,0.022,0.022998,0.00117,0.00123,0.0236,0.014292,0.00632,0.003829,0.0273,0.012356,0.01465,0.006622
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,gcn,default,,10,1 2 3 4 5 6 7 8 9 10,0.55065,0.019214,0.8533,0.004301,0.52021,0.023671,,,,,,,0.98022,0.01094,0.15117,0.001714,,,,,0.979,0.011972,0.0904,0.001105,0.8112,0.034127,0.37451,0.015745,0.5367,0.02152,0.49557,0.019869
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,gcn,focal,,10,1 2 3 4 5 6 7 8 9 10,0.5411,0.02495,0.85603,0.007339,0.39358,0.022234,,,,,,,0.96528,0.010089,0.14885,0.001555,,,,,0.965,0.015811,0.08911,0.001472,0.8042,0.043974,0.37127,0.020286,0.5239,0.024205,0.48375,0.022344
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,gcn,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.54173,0.025218,0.85892,0.00542,0.47804,0.027831,,,,,,,0.96289,0.014356,0.14848,0.002221,,,,,0.957,0.022136,0.08836,0.002072,0.8012,0.044244,0.3699,0.020404,0.5266,0.030805,0.48622,0.02844
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,mlp,default,,10,1 2 3 4 5 6 7 8 9 10,0.62022,0.00756,0.87975,0.001201,0.57048,0.020626,,,,,,,0.9425,0.010658,0.14532,0.00164,,,,,0.925,0.011785,0.08541,0.001108,0.91,0.008844,0.42013,0.004093,0.6295,0.010501,0.58126,0.009705
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,mlp,focal,,10,1 2 3 4 5 6 7 8 9 10,0.54768,0.018097,0.87609,0.002686,0.32873,0.013628,,,,,,,0.86228,0.036035,0.13298,0.005555,,,,,0.825,0.055827,0.0762,0.005149,0.8294,0.024677,0.38292,0.011414,0.5778,0.008867,0.53353,0.008191
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,mlp,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.58485,0.009476,0.87772,0.002951,0.407,0.013495,,,,,,,0.89701,0.020501,0.13833,0.003152,,,,,0.883,0.028694,0.08153,0.00263,0.8722,0.012908,0.40268,0.005964,0.6022,0.01025,0.55605,0.009463
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,sage,default,,10,1 2 3 4 5 6 7 8 9 10,0.49575,0.036913,0.86932,0.007149,0.51916,0.029948,,,,,,,0.81797,0.085778,0.12614,0.013233,,,,,0.935,0.068678,0.08634,0.006353,0.659,0.070555,0.30426,0.032566,0.5425,0.034529,0.50093,0.031901
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,sage,focal,,10,1 2 3 4 5 6 7 8 9 10,0.42121,0.048761,0.86155,0.009672,0.38047,0.008071,,,,,,,0.68443,0.108106,0.10554,0.016676,,,,,0.849,0.094804,0.07839,0.008765,0.4846,0.104733,0.22372,0.048354,0.4873,0.04007,0.44994,0.036998
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,inductive_isolated,sage,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.49782,0.037141,0.87305,0.007727,0.46993,0.014975,,,,,,,0.8048,0.07869,0.12411,0.012144,,,,,0.938,0.067954,0.0866,0.006282,0.6506,0.068993,0.30035,0.031852,0.5465,0.027758,0.50461,0.025642
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,gcn,default,,10,1 2 3 4 5 6 7 8 9 10,0.45044,0.032043,0.85772,0.005716,0.44588,0.028246,,,,,,,0.81078,0.068418,0.12502,0.010564,,,,,0.786,0.083693,0.07257,0.007732,0.6818,0.039614,0.31477,0.018292,0.4868,0.02513,0.44948,0.023217
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,gcn,focal,,10,1 2 3 4 5 6 7 8 9 10,0.40768,0.036854,0.85409,0.007736,0.37926,0.021532,,,,,,,0.75988,0.077831,0.11717,0.012001,,,,,0.741,0.071562,0.06843,0.006605,0.611,0.069399,0.2821,0.032029,0.4575,0.034092,0.42244,0.031485
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,gcn,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.43185,0.034592,0.86308,0.006475,0.44906,0.02603,,,,,,,0.77544,0.063579,0.11959,0.009786,,,,,0.756,0.073364,0.06982,0.006768,0.6288,0.05789,0.29031,0.026717,0.4745,0.03358,0.43813,0.031006
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,mlp,default,,10,1 2 3 4 5 6 7 8 9 10,0.62022,0.00756,0.87975,0.001201,0.57048,0.020626,,,,,,,0.9425,0.010658,0.14532,0.00164,,,,,0.925,0.011785,0.08541,0.001108,0.91,0.008844,0.42013,0.004093,0.6295,0.010501,0.58126,0.009705
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,mlp,focal,,10,1 2 3 4 5 6 7 8 9 10,0.54768,0.018097,0.87609,0.002686,0.32873,0.013628,,,,,,,0.86228,0.036035,0.13298,0.005555,,,,,0.825,0.055827,0.0762,0.005149,0.8294,0.024677,0.38292,0.011414,0.5778,0.008867,0.53353,0.008191
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,mlp,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.58485,0.009476,0.87772,0.002951,0.407,0.013495,,,,,,,0.89701,0.020501,0.13833,0.003152,,,,,0.883,0.028694,0.08153,0.00263,0.8722,0.012908,0.40268,0.005964,0.6022,0.01025,0.55605,0.009463
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,sage,default,,10,1 2 3 4 5 6 7 8 9 10,0.60719,0.02346,0.88387,0.007848,0.54997,0.014264,,,,,,,0.994,0.006928,0.15329,0.001068,,,,,0.998,0.004216,0.09212,0.000379,0.8326,0.046772,0.3844,0.021582,0.5962,0.016478,0.55051,0.015204
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,sage,focal,,10,1 2 3 4 5 6 7 8 9 10,0.56299,0.022991,0.88046,0.006704,0.37272,0.010033,,,,,,,0.98382,0.010567,0.15173,0.001636,,,,,0.99,0.006667,0.0914,0.0006,0.7354,0.049969,0.33952,0.023063,0.5639,0.013908,0.52068,0.012842
RB28,RB28_ELLIPTIC_LOSS_ROBUSTNESS_FULL10_SEEDS_1_10_DUALGPU_V22,elliptic,strict_inductive,sage,weighted_bce,,10,1 2 3 4 5 6 7 8 9 10,0.60701,0.022409,0.88723,0.007066,0.46438,0.016463,,,,,,,0.9916,0.00645,0.15293,0.000994,,,,,0.996,0.005164,0.09194,0.000465,0.826,0.044161,0.38135,0.020374,0.5963,0.016634,0.5506,0.015367
