path,size_bytes,file_count,purpose,classification,include_in_git,manifest_only,exclude,justification,risk_level,largest_files,private_path_or_mount_name_in_path,credential_like_filename_present,final_paper_relationship,future_iclr_relationship
CHECKSUMS.sha256,602,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,CHECKSUMS.sha256 (602 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
CLAUDE.md,12818,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,CLAUDE.md (12818 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
CLEAN_ROOM_COMMAND_LOG.md,99,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,CLEAN_ROOM_COMMAND_LOG.md (99 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
CLEAN_ROOM_ENVIRONMENT.md,87,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,CLEAN_ROOM_ENVIRONMENT.md (87 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
CLEAN_ROOM_REPRODUCTION_REPORT.md,110,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,CLEAN_ROOM_REPRODUCTION_REPORT.md (110 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
Computer_Society_LaTeX_template,586031,5,Project surface not part of the final dependency closure by name alone.,unknown or historical candidate,no by default,possible,yes pending proof,The allowlist is explicit; inclusion requires canonical-source evidence.,medium,Computer_Society_LaTeX_template/New_IEEEtran_how-to.pdf (252730 B); Computer_Society_LaTeX_template/bare_jrnl_new_sample4.pdf (235172 B); Computer_Society_LaTeX_template/fig1.png (37986 B); Computer_Society_LaTeX_template/New_IEEEtran_how-to.tex (33827 B); Computer_Society_LaTeX_template/bare_jrnl_new_sample4.tex (26316 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
Computer_Society_LaTeX_template.zip,541768,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,Computer_Society_LaTeX_template.zip (541768 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
DELAYED_LABEL_SIMULATION_BLOCKER_REPORT.md,159,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,DELAYED_LABEL_SIMULATION_BLOCKER_REPORT.md (159 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
EXTERNAL_REPRODUCTION_COMMAND_LOG_TEMPLATE.md,103,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,EXTERNAL_REPRODUCTION_COMMAND_LOG_TEMPLATE.md (103 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
EXTERNAL_REPRODUCTION_PROTOCOL.md,117,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,EXTERNAL_REPRODUCTION_PROTOCOL.md (117 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
EXTERNAL_REPRODUCTION_REPORT_TEMPLATE.md,107,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,EXTERNAL_REPRODUCTION_REPORT_TEMPLATE.md (107 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_FRAUDSHIFTBENCH_COMPLETION_REPORT.json,9284,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_FRAUDSHIFTBENCH_COMPLETION_REPORT.json (9284 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_FRAUDSHIFTBENCH_COMPLETION_REPORT.md,8397,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_FRAUDSHIFTBENCH_COMPLETION_REPORT.md (8397 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_KDD_BENCHMARK_TRACK_READINESS_AUDIT_AFTER_V28.md,125,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_KDD_BENCHMARK_TRACK_READINESS_AUDIT_AFTER_V28.md (125 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_KDD_BENCHMARK_TRACK_READINESS_AUDIT_V27.md,1522,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_KDD_BENCHMARK_TRACK_READINESS_AUDIT_V27.md (1522 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_REPO_CONSISTENCY_AUDIT.md,352,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_REPO_CONSISTENCY_AUDIT.md (352 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_TKDE_READINESS_AUDIT_AFTER_V28.md,92,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_TKDE_READINESS_AUDIT_AFTER_V28.md (92 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_TKDE_READINESS_AUDIT_V27.md,1507,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_TKDE_READINESS_AUDIT_V27.md (1507 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_ULTRA_TKDE_READINESS_AUDIT.json,2949,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_ULTRA_TKDE_READINESS_AUDIT.json (2949 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_ULTRA_TKDE_READINESS_AUDIT.md,1569,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_ULTRA_TKDE_READINESS_AUDIT.md (1569 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_V29_EXPERIMENTAL_MAXOUT_REPORT.md,104,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_V29_EXPERIMENTAL_MAXOUT_REPORT.md (104 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_V29_READINESS_AUDIT.md,67,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_V29_READINESS_AUDIT.md (67 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_V39_ARTIFACT_VALIDATION_REPORT.md,98,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_V39_ARTIFACT_VALIDATION_REPORT.md (98 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_V39_BENCHMARK_RELEASE_AUDIT.md,91,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_V39_BENCHMARK_RELEASE_AUDIT.md (91 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_V39_CLAIM_LANGUAGE_AUDIT.md,97,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_V39_CLAIM_LANGUAGE_AUDIT.md (97 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FINAL_V39_EVIDENCE_MATURITY_MATRIX.md,96,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FINAL_V39_EVIDENCE_MATURITY_MATRIX.md (96 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FRAUDSHIFTBENCH_ONE_PAGE_SUMMARY.md,329,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FRAUDSHIFTBENCH_ONE_PAGE_SUMMARY.md (329 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
FRAUDSHIFTBENCH_V27_ONE_PAGE_SUMMARY.md,1513,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,FRAUDSHIFTBENCH_V27_ONE_PAGE_SUMMARY.md (1513 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
MASTER_RUN_PLAN.md,11552,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,MASTER_RUN_PLAN.md (11552 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
Makefile,3553,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,Makefile (3553 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
PROFESSOR_HANDOFF_AFTER_V28.md,107,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,PROFESSOR_HANDOFF_AFTER_V28.md (107 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
PROFESSOR_HANDOFF_TKDE_PLUS.md,404,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,PROFESSOR_HANDOFF_TKDE_PLUS.md (404 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
PROFESSOR_HANDOFF_V27_TKDE_MAXOUT.md,1510,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,PROFESSOR_HANDOFF_V27_TKDE_MAXOUT.md (1510 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
PROFESSOR_HANDOFF_V29_EXPERIMENTAL_MAXOUT.md,133,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,PROFESSOR_HANDOFF_V29_EXPERIMENTAL_MAXOUT.md (133 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
PROJECT_FULL_AUDIT_FOR_OPUS.md,63780,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,PROJECT_FULL_AUDIT_FOR_OPUS.md (63780 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
README.md,58657,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,README.md (58657 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
README_FRAUDSHIFTBENCH_DRAFT.md,1605,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,README_FRAUDSHIFTBENCH_DRAFT.md (1605 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
RELEASE_CHECKLIST_TKDE_PLUS.md,291,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,RELEASE_CHECKLIST_TKDE_PLUS.md (291 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
RELEASE_CHECKLIST_TKDE_PLUS_V27.md,1508,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,RELEASE_CHECKLIST_TKDE_PLUS_V27.md (1508 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
RELEASE_CHECKLIST_V28.md,101,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,RELEASE_CHECKLIST_V28.md (101 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
REPO_AUDIT_GNN_FOR_CHATGPT.md,29024,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,REPO_AUDIT_GNN_FOR_CHATGPT.md (29024 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
REPO_STRUCTURE.md,3409,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,REPO_STRUCTURE.md (3409 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
SOURCE_TABLE_HANDOFF_FOR_REVIEW.md,205,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,SOURCE_TABLE_HANDOFF_FOR_REVIEW.md (205 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
THRESHOLD_TRANSFER_BLOCKER_REPORT.md,151,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,THRESHOLD_TRANSFER_BLOCKER_REPORT.md (151 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V26_FINAL_POST_KAGGLE_EVIDENCE_FREEZE_REPORT.md,12285,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V26_FINAL_POST_KAGGLE_EVIDENCE_FREEZE_REPORT.md (12285 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V26_IMPLEMENTATION_REPORT.md,1535,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V26_IMPLEMENTATION_REPORT.md (1535 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V26_KAGGLE_OUTPUTS_FINAL_VERIFICATION_AND_POLISH_REPORT.md,12296,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V26_KAGGLE_OUTPUTS_FINAL_VERIFICATION_AND_POLISH_REPORT.md (12296 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V27_INITIAL_REPO_STATE_AUDIT.md,2201,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V27_INITIAL_REPO_STATE_AUDIT.md (2201 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V27_TKDE_STRENGTHENING_GPU_RUNBOOKS_AND_UPLOAD_BUNDLE.zip,107532,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,V27_TKDE_STRENGTHENING_GPU_RUNBOOKS_AND_UPLOAD_BUNDLE.zip (107532 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V28_TO_V39_PROMPT_PACK_EXECUTION_REPORT.md,191,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V28_TO_V39_PROMPT_PACK_EXECUTION_REPORT.md (191 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V30_CLEAN_ROOM_REPRODUCTION_REPORT.md,83,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V30_CLEAN_ROOM_REPRODUCTION_REPORT.md (83 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V30_EVIDENCE_MATURITY_UPDATE.md,97,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V30_EVIDENCE_MATURITY_UPDATE.md (97 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V30_EXTERNAL_REPRODUCTION_PROTOCOL.md,66,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V30_EXTERNAL_REPRODUCTION_PROTOCOL.md (66 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V30_REPRODUCTION_AUDIT.md,72,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V30_REPRODUCTION_AUDIT.md (72 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V31_PUBLIC_BENCHMARK_INTERFACE_REPORT.md,117,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V31_PUBLIC_BENCHMARK_INTERFACE_REPORT.md (117 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V32_HIDDEN_TEST_MODE_REPORT.md,102,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V32_HIDDEN_TEST_MODE_REPORT.md (102 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V33_DATASET_ONBOARDING_FRAMEWORK_REPORT.md,109,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V33_DATASET_ONBOARDING_FRAMEWORK_REPORT.md (109 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
V34_MODEL_ONBOARDING_FRAMEWORK_REPORT.md,104,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,V34_MODEL_ONBOARDING_FRAMEWORK_REPORT.md (104 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
WORST_WINDOW_TEMPORAL_ANALYSIS_BLOCKER_REPORT.md,154,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,WORST_WINDOW_TEMPORAL_ANALYSIS_BLOCKER_REPORT.md (154 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
_rb_refresh_archive_2026-06-20,1024280444,400,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,_rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed5.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed4.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed3.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed2.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed1.csv (8226084 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
_rb_refresh_archive_2026-06-20/.DS_Store,6148,1,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,_rb_refresh_archive_2026-06-20/.DS_Store (6148 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
_rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z,611158643,227,"Local environment, cache, archive, backup, or duplicate package.",historical/local-only/environment/generated,no,no,yes,Explicitly excluded by the governing public-repository safety rules.,high,_rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed5.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed4.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed3.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed2.csv (8226084 B); _rb_refresh_archive_2026-06-20/_pre_rb_refresh_backup_20260620T041421Z/predictions/elliptic__strict_inductive__logistic_regression__seed1.csv (8226084 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
