object_id,object_type,latex_label,caption_title,document,source_tex,generation_script,source_data_files,provenance_checksum_record,current_pdf_page,float_type,orientation,physical_width_in,physical_height_in,estimated_text_size_pt,row_count,column_count,caption_word_count,scientific_question,claim_ids,metrics,seed_scope,protocol_scope,feasibility_set,uncertainty,redundancy,visual_defects,scientific_communication_defects,page_utilization,print_readability,grayscale_readability,final_disposition,planned_replacement,final_destination
M-T04,table,tab:rb09-effects,Paired strict-to-isolated protocol effects,main,paper_tkde/tables/table04_rb09_protocol_effects.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/RB09_AUPRC_MAIN.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,8,table*,portrait,7.16,auto,~7,6,8,4,What are the paired AUPRC changes and corrected inference?,C01-C04,AUPRC; absolute/relative delta; dz; Holm p,1-10 paired,strict vs isolated,complete 2 x 3 grid,95% bootstrap CI; paired effect; Holm,none,scriptsize,none,embedded in prose,small at print scale,not color dependent,REDESIGN,Footnotesize aligned numeric table with the same six paired effects and concise note.,main
M-T05,table,tab:ibm-results,IBM baseline and graph-grid results,main,paper_tkde/tables/table05_ibm_results.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/IBM_CELL_SUMMARY.csv; results/tkde_rebuild/IBM_RANK_DIVERGENCE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,9,table*,portrait,7.16,auto,~7,16,7,5,Who leads the baseline grid and graph grid?,C05-C14,AUPRC; AUROC; F1,1-10,two IBM protocols,exact variant-protocol sets,mean plus SD,none,two dense panels; repeated winner columns,mixes baseline-family and graph-construction questions,embedded in prose,small at print scale,not color dependent,SPLIT,Separate IBM baseline AUPRC table and graph-construction matched-effect table.,main
M-T06,table,tab:resource-boundaries,Resource boundaries,main,paper_tkde/tables/table06_resource_boundaries.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/RESOURCE_BOUNDARIES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,9,table*,portrait,7.16,auto,~7,6,5,2,Which cells are unmeasured and how are they treated?,C10; C14; C20,resource status only,n=0 blocked,cell-specific,guard/T4 OOM/waiting GPU,none,none,wide prose columns,file counts are administrative,embedded in prose,small at print scale,not color dependent,REDESIGN,"Four-column cell, envelope, short status tag, and benchmark-treatment table.",main
M-T07,table,tab:graphsafe,Bounded GraphSafe comparator,main,paper_tkde/tables/table07_graphsafe_case.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/GRAPHSAFE_BOUNDED_SUMMARY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,10,table,portrait,3.45,auto,10,6,5,3,How does bounded GraphSafe compare with strong saved-score baselines?,C15-C17,F1; Recall@1%; cost risk,10 seed blocks,six contexts averaged within seed,Elliptic and DGraphFin saved predictions,paired tests in prose/supplement,none,caption longer than table,none,embedded in prose,readable,not color dependent,KEEP_WITH_MINOR_EDIT,Footnotesize compact table with shorter caption and explicit comparator boundary.,main
M-E01,equation,eq:eligibility,Eligibility mask and binary target,main,paper_tkde/sections/04_deployment_claim_contracts.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,5,Formal definition used by the scientific argument.,C01-C04,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain with unchanged scientific notation.,main
M-E02,equation,eq:deployment-contract,Six-coordinate deployment contract,main,paper_tkde/sections/04_deployment_claim_contracts.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,3,Formal definition used by the scientific argument.,C18-C22,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain with unchanged scientific notation.,main
M-E03,equation,eq:evidence-unit,Typed evidence unit,main,paper_tkde/sections/04_deployment_claim_contracts.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,3,Formal definition used by the scientific argument.,C18-C22,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain with unchanged scientific notation.,main
M-E04,equation,eq:typed-claim,Typed empirical claim,main,paper_tkde/sections/04_deployment_claim_contracts.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,3,Formal definition used by the scientific argument.,C18-C22,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain with unchanged scientific notation.,main
M-E05,equation,eq:sage,GraphSAGE visibility-dependent update,main,paper_tkde/sections/05_benchmark_instantiation.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,5,display,portrait,3.45,auto,10,n/a,n/a,3,Formal definition used by the scientific argument.,C01-C04,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain with unchanged scientific notation.,main
M-E06,equation,eq:cost-risk,Illustrative 1:5 cost risk,main,paper_tkde/sections/06_experimental_design.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,6,display,portrait,3.45,auto,10,n/a,n/a,4,Formal definition used by the scientific argument.,C15-C17,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain with unchanged scientific notation.,main
S-F01,figure,fig:s-contract,Repeated contract framework,supplement,paper_tkde/supplement/sections/02_contract_support.tex,scripts/tkde_rebuild/make_figures.py,paper_tkde/figures/fig01_deployment_contract.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,4,figure,portrait,6.6,3-5,6-8,n/a,n/a,3,Formal definition used by the scientific argument.,,n/a,n/a,all scoped contracts,n/a,n/a,duplicates main object,small labels and full-width scaling,duplicate of main,embedded in prose,readable,not color dependent,REMOVE_REDUNDANT,Use the redesigned main figure once or replace with a text cross-reference.,artifact
S-F02,figure,fig:s-protocol-effects,Repeated protocol effects,supplement,paper_tkde/supplement/sections/06_protocol_grid_results.tex,scripts/tkde_rebuild/make_figures.py,paper_tkde/figures/fig02_protocol_architecture_effects.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,11,figure,portrait,6.6,3-5,6-8,n/a,n/a,3,Formal definition used by the scientific argument.,,n/a,n/a,all scoped contracts,n/a,n/a,duplicates main object,small labels and full-width scaling,duplicate of main,embedded in prose,readable,not color dependent,REMOVE_REDUNDANT,Use readable aggregate effect tables and refer to the main figure.,artifact
S-F03,figure,fig:s-ibm-ablation,Repeated matched IBM ablation,supplement,paper_tkde/supplement/sections/07_ibm_results.tex,scripts/tkde_rebuild/make_figures.py,paper_tkde/figures/fig05_matched_ablation_effects.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,20,figure,portrait,6.6,3-5,6-8,n/a,n/a,4,Formal definition used by the scientific argument.,,n/a,n/a,all scoped contracts,n/a,n/a,duplicates main object,small labels and full-width scaling,duplicate of main,embedded in prose,readable,not color dependent,REPLACE_WITH_DIFFERENT_VISUAL_FORM,Add a compact context-direction/heterogeneity visual if it improves the aggregate tables.,supplement
S-F04,figure,fig:s-review-budget,Review-budget curves,supplement,paper_tkde/supplement/sections/08_graphsafe_case.tex,scripts/tkde_rebuild/make_figures.py,paper_tkde/figures/fig07_review_budget_analysis.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,42,figure,portrait,6.6,3-5,6-8,n/a,n/a,2,Formal definition used by the scientific argument.,,n/a,n/a,all scoped contracts,n/a,n/a,unique diagnostic,small labels and full-width scaling,none,embedded in prose,readable,not color dependent,KEEP_WITH_MINOR_EDIT,Retain with 8 pt typography and grayscale-redundant line styles/markers.,supplement
S-F05,figure,fig:s-framework-validation,Repeated validation flowchart,supplement,paper_tkde/supplement/sections/09_integrity_resources.tex,scripts/tkde_rebuild/make_figures.py,paper_tkde/figures/fig08_claim_support_validation.pdf,results/tkde_rebuild/FIGURE_DATA_PROVENANCE.csv,43,figure,portrait,6.6,3-5,6-8,n/a,n/a,3,Formal definition used by the scientific argument.,,n/a,n/a,all scoped contracts,n/a,n/a,duplicates main object,small labels and full-width scaling,duplicate of main,embedded in prose,readable,not color dependent,REMOVE_REDUNDANT,Use the complete controlled-case table; main contains the quantitative status matrix.,artifact
S-T01,longtable,tab:s-datasets,Dataset cards,supplement,paper_tkde/supplement/tables/table_s01_dataset_cards.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/DATASET_TASK_STATISTICS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,7,longtable,portrait,6.6,auto,~5-7,10,10,2,Dataset cards,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 7; often sparse landscape,microscopic or zoom-dependent,not color dependent,SPLIT,"Readable Elliptic, DGraphFin, and IBM dataset cards.",supplement
S-T02,longtable,tab:s-protocols,Protocol contracts,supplement,paper_tkde/supplement/tables/table_s02_protocols.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/PROTOCOL_DEFINITIONS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,7,longtable,portrait,6.6,auto,~5-7,5,6,2,Protocol contracts,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 7; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,Explicit label/feature/graph visibility matrix including IBM 50%/60%.,supplement
S-T03,longtable,tab:s-models,Model and construction inventory,supplement,paper_tkde/supplement/tables/table_s03_models.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/MODEL_CONSTRUCTION_INVENTORY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,9,longtable,landscape,9.0 landscape,auto,~5-7,13,4,4,Model and construction inventory,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 9; often sparse landscape,microscopic or zoom-dependent,not color dependent,SPLIT,"Role-specific baseline, node-GNN, edge-model, and construction cards.",supplement
S-T04,longtable,tab:s-training,Optimization and selection settings,supplement,paper_tkde/supplement/tables/table_s04_training.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/TRAINING_CONFIGURATION.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,9,longtable,landscape,9.0 landscape,auto,~5-7,6,11,4,Optimization and selection settings,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 9; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,Readable family-specific training and selection cards.,supplement
S-T05,longtable,tab:s-rb09-seed,Complete RB09 seed rows,supplement,paper_tkde/supplement/tables/table_s05_rb09_seed.tex,scripts/tkde_rebuild/build_tables.py,results/runs_rb09v3/runs.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,12,longtable,landscape,9.0 landscape,multi-page,~5-7,180,10,4,Complete RB09 seed rows,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,raw CSV duplication,tiny type; landscape/raw-row density,machine-readable detail dominates,baseline page 12; often sparse landscape,microscopic or zoom-dependent,not color dependent,MOVE_SUPPLEMENT_TO_ARTIFACT,Completeness count and schema excerpt; exhaustive 180 rows in artifact.,artifact
S-T06,longtable,tab:s-rb09-effects,Paired RB09 effects,supplement,paper_tkde/supplement/tables/table_s06_rb09_effects.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/RB09_PROTOCOL_EFFECTS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,14,longtable,landscape,9.0 landscape,auto,~5-7,18,11,3,Paired RB09 effects,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 14; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,Readable aggregate effects split by metric/dataset.,supplement
S-T07,longtable,tab:s-v24-duplicate,V24 duplicate-label audit,supplement,paper_tkde/supplement/tables/table_s07_v24_duplicate_audit.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/V24_DUPLICATE_STRESS_AUDIT.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,14,longtable,landscape,9.0 landscape,auto,~5-7,12,6,3,V24 duplicate-label audit,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 14; often sparse landscape,microscopic or zoom-dependent,not color dependent,KEEP_WITH_MINOR_EDIT,Compact construct-audit table with 120/240 counts.,supplement
S-T08,longtable,tab:s-v22-lanes,V22 lane completeness,supplement,paper_tkde/supplement/tables/table_s08_v22_lanes.tex,scripts/tkde_rebuild/build_tables.py,manuscript_assets/tables/V22_GPU_EVIDENCE_STATUS_TABLE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,15,longtable,landscape,9.0 landscape,auto,~5-7,6,7,3,V22 lane completeness,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 15; often sparse landscape,microscopic or zoom-dependent,not color dependent,KEEP_WITH_MINOR_EDIT,Readable lane completeness and blocked fixed-GAT row.,supplement
S-T09,longtable,tab:s-v22-stats,Complete V22 tests,supplement,paper_tkde/supplement/tables/table_s09_v22_stats.tex,scripts/tkde_rebuild/build_tables.py,manuscript_assets/tables/V22_STAT_TESTS_FULL10.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,16,longtable,landscape,9.0 landscape,multi-page,~5-7,198,13,3,Complete V22 tests,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,raw CSV duplication,tiny type; landscape/raw-row density,machine-readable detail dominates,baseline page 16; often sparse landscape,microscopic or zoom-dependent,not color dependent,MOVE_SUPPLEMENT_TO_ARTIFACT,Hypothesis-family summary; all 198 rows in artifact.,artifact
S-T10,longtable,tab:s-ibm-seed,Complete IBM seed rows,supplement,paper_tkde/supplement/tables/table_s10_ibm_seed.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/IBM_IMPORTED_SEED_ROWS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,21,longtable,landscape,9.0 landscape,multi-page,~5-7,840,9,4,Complete IBM seed rows,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,raw CSV duplication,tiny type; landscape/raw-row density,machine-readable detail dominates,baseline page 21; often sparse landscape,microscopic or zoom-dependent,not color dependent,MOVE_SUPPLEMENT_TO_ARTIFACT,Completeness/schema summary; all 840 rows in artifact.,artifact
S-T11,longtable,tab:s-ibm-cells,IBM cell aggregates,supplement,paper_tkde/supplement/tables/table_s11_ibm_cells.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/IBM_CELL_SUMMARY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,32,longtable,landscape,9.0 landscape,multi-page,~5-7,84,10,3,IBM cell aggregates,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 32; often sparse landscape,microscopic or zoom-dependent,not color dependent,SPLIT,"Baseline, graph-grid, and scale-focused aggregate tables.",supplement
S-T12,longtable,tab:s-ranks,Rank/decision disagreement,supplement,paper_tkde/supplement/tables/table_s12_ranks.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/IBM_RANK_DIVERGENCE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,33,longtable,landscape,9.0 landscape,auto,~5-7,16,10,2,Rank/decision disagreement,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 33; often sparse landscape,microscopic or zoom-dependent,not color dependent,KEEP_WITH_MINOR_EDIT,Readable exact-feasibility rank summary.,supplement
S-T13,longtable,tab:s-ablation,Matched IBM construction effects,supplement,paper_tkde/supplement/tables/table_s13_ablation.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/IBM_MATCHED_ABLATION_EFFECTS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,33,longtable,landscape,9.0 landscape,auto,~5-7,52,12,4,Matched IBM construction effects,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 33; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,Multi-metric aggregate table with ten seed blocks and correction status.,supplement
S-T14,longtable,tab:s-ablation-contexts,Context-specific IBM effects,supplement,paper_tkde/supplement/tables/table_s13b_ablation_contexts.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/IBM_MATCHED_ABLATION_CONTEXT_EFFECTS.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,34,longtable,landscape,9.0 landscape,multi-page,~5-7,208,12,3,Context-specific IBM effects,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,raw CSV duplication,tiny type; landscape/raw-row density,machine-readable detail dominates,baseline page 34; often sparse landscape,microscopic or zoom-dependent,not color dependent,MOVE_SUPPLEMENT_TO_ARTIFACT,Directional heterogeneity counts plus representative contexts; all 208 rows in artifact.,artifact
S-T15,longtable,tab:s-runtime,Runtime and feasibility,supplement,paper_tkde/supplement/tables/table_s14_runtime.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/IBM_RUNTIME_FEASIBILITY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,38,longtable,landscape,9.0 landscape,auto,~5-7,58,10,3,Runtime and feasibility,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 38; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,Reference/Pareto/blocked resource summary by scale and protocol.,supplement
S-T16,longtable,tab:s-graphsafe,GraphSafe aggregate summary,supplement,paper_tkde/supplement/tables/table_s15_graphsafe.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/GRAPHSAFE_BOUNDED_SUMMARY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,40,longtable,landscape,9.0 landscape,auto,~5-7,10,8,3,GraphSafe aggregate summary,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 40; often sparse landscape,microscopic or zoom-dependent,not color dependent,KEEP_WITH_MINOR_EDIT,Comparator-focused aggregate table.,supplement
S-T17,longtable,tab:s-graphsafe-tests,GraphSafe paired tests,supplement,paper_tkde/supplement/tables/table_s16_graphsafe_tests.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/GRAPHSAFE_PAIRED_VS_SIMPLE_AVERAGE.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,40,longtable,landscape,9.0 landscape,auto,~5-7,48,9,3,GraphSafe paired tests,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 40; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,Selected decision metrics plus 48-test family summary.,supplement
